dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,accepted_variants,source_authority,usage_notes,first_appearance,decision,confidence
هسته‌چه,Nucleolus,,,هسته‌چه (Nucleolus),هستک,,"Afghan faculty histology text: خاتم النبیین University, «هستولوژی تئوری ۲» (muslimuniversity.edu.af) — «هسته چه» (Afghan histology text)",Afghan histology text writes «هسته چه» (e.g. «هسته بزرگ و هسته چه»). هستک is the Iranian form.,Ch03,AFGHAN STANDARD,MEDIUM
غشای هستوی,Nuclear envelope,,,غشای هستوی (Nuclear envelope),,پوشش هسته‌ای,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Also written پوشش هستوی; both acceptable, book uses غشای هستوی/پوشش هستوی.",Ch03,AFGHAN STANDARD,MEDIUM
منفذ هستوی,Nuclear pore,,,منفذ هستوی (Nuclear pore),,منفذ هسته‌ای,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,AFGHAN STANDARD,MEDIUM
کروماتین,Chromatin,,,کروماتین (Chromatin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
هتروکروماتین,Heterochromatin,,,هتروکروماتین (Heterochromatin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
یوکروماتین,Euchromatin,,,یوکروماتین (Euchromatin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
نوکلئوزوم,Nucleosome,,,نوکلئوزوم (Nucleosome),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
هیستون,Histone,,,هیستون (Histone),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Adjective هیستونی (histonic) — must not be confused with ستونی.,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
کروموزوم,Chromosome,,,کروموزوم (Chromosome),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
کروماتید,Chromatid,,,کروماتید (Chromatid),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
سانترومر,Centromere,,,سانترومر (Centromere),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
کینتوکور,Kinetochore,,,کینتوکور (Kinetochore),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
تلومر,Telomere,,,تلومر (Telomere),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
کاریوتایپ,Karyotype,,,کاریوتایپ (Karyotype),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
کرویاتِ سرخ,Erythrocyte,,RBC,کرویاتِ سرخ (Erythrocyte),گویچهٔ سرخ;گلبول قرمز,حجرات سرخ,"Afghan faculty histology text: خاتم النبیین University, «هستولوژی تئوری ۲» (muslimuniversity.edu.af) — «کرویات سفید خون» (Afghan histology text)",Afghan histology text uses کرویات («کرویات سفید خون»); گویچه is the Iranian form. حجرات سرخ also occurs in Afghan texts but کرویات is the book standard. RBC retained as the abbreviation.,Ch03,AFGHAN STANDARD,MEDIUM
میتوز,Mitosis,,,میتوز (Mitosis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Phase names: پروفاز، متافاز، آنافاز، تلوفاز.,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
میوز,Meiosis,,,میوز (Meiosis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
آپوپتوز,Apoptosis,,,آپوپتوز (Apoptosis),,مرگ برنامه‌ریزی‌شدهٔ حجره,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Both the transliteration and the Dari gloss are used; the English term is kept for exam recognition.,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
نکروز,Necrosis,,,نکروز (Necrosis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
کاسپاز,Caspase,,,کاسپاز (Caspase),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
اپی‌ژنتیک,Epigenetics,,,اپی‌ژنتیک (Epigenetics),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
متیلاسیون,Methylation,,,متیلاسیون (Methylation),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
استیلاسیون,Acetylation,,,استیلاسیون (Acetylation),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
تریزومی,Trisomy,,,تریزومی (Trisomy),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
مونوزومی,Monosomy,,,مونوزومی (Monosomy),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
آنیوپلوئیدی,Aneuploidy,,,آنیوپلوئیدی (Aneuploidy),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,COMMON AFGHAN TRANSLITERATION,HIGH
کاریوکنیزیس,Karyokinesis,,,کاریوکنیزیس (Karyokinesis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,ENGLISH RETAINED,HIGH
اپیتلیوم,Epithelium,,,اپیتلیوم (Epithelium),بافت پوششی,,"Owner-mandated canonical decision (project Terminology Gate directive, 2026-09-21). This is NOT an evidence claim and is NOT attributed to any Afghan institution.",International term used unchanged in Afghan teaching (خاتم النبیین: «اپیتلیوم استوانه‌یی چند طبقه کاذب مژک دار»). Adjective: اپیتلیال.,Ch04,AFGHAN STANDARD,MEDIUM
لامینای پایه,Basal lamina,,,لامینای پایه (Basal lamina),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit.,Afghan teaching keeps the international terminology (the Afghan text writes basal lamina / basel membrane). غشای پایه is used only where the reference means the whole basement membrane.,Ch04,COMMON AFGHAN TRANSLITERATION,MEDIUM
غشای پایه,Basement membrane,,,غشای پایه (Basement membrane),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),The composite structure = لامینای پایه + لامینا رتیکولاریس. Kept distinct from لامینای پایه.,Ch04,AFGHAN STANDARD,MEDIUM
مسطح,Squamous,,,مسطح (Squamous),سنگفرشی;خشت فرشی;فلس,,"Owner-mandated canonical decision (project Terminology Gate directive, 2026-09-21). This is NOT an evidence claim and is NOT attributed to any Afghan institution.","CANONICAL per the project decision list («Simple Squamous Epithelium = اپیتلیوم سادهٔ مسطح»). Afghan teaching material shows سنگفرشی and خشت‌فرشی as well, so این forms are classified as non-canonical variants rather than Iranian — but the book must use مسطح consistently. Classified as NON-CANONICAL (book-consistency) not as an Iranian-Persian violation.",Ch04,AFGHAN STANDARD,MEDIUM
مکعبی,Cuboidal,,,مکعبی (Cuboidal),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Matches Afghan teaching («اپیتلیوم مکعبی»). No competing Afghan form.,Ch04,AFGHAN STANDARD,MEDIUM
استوانه‌ای,Columnar,,,استوانه‌ای (Columnar),منشوری;ستونی,,"Afghan MoE textbook, Biology Grade 7 (moe.gov.af, Kabul, 1398 h.s.) — «بیضوی، مدور، مکعبی، استوانه یی و تعدادی هم مسطح»؛ ME12 «حجرات مخروطی و استوانه یی»",Afghan histology text uses «استوانه‌یی» throughout. منشوری is the Iranian form. ستونی is a Pashto-side equivalent and is not used in the Dari text. NOTE: هیستونی (histonic) contains the letters ستونی and must never be flagged. [NON-CANONICAL: منشوری],Ch04,AFGHAN STANDARD,HIGH
مطبق,Stratified,,,مطبق (Stratified),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan teaching: «اپیتلیوم خشت فرشی چند طبقه‌یی». مطبق is the reference's term.,Ch04,AFGHAN STANDARD,MEDIUM
شبه‌مطبق,Pseudostratified,,,شبه‌مطبق (Pseudostratified),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan text: «اپیتلیوم استوانه‌یی چند طبقه کاذب»; شبه‌مطبق and مطبق کاذب both occur.,Ch04,AFGHAN STANDARD,MEDIUM
یوروتلیوم,Urothelium,,,یوروتلیوم (Urothelium),,اپیتلیوم انتقالی;اپیتلیوم مثانه,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit.,International term retained per the reference; اپیتلیوم انتقالی given as the Dari gloss.,Ch04,COMMON AFGHAN TRANSLITERATION,MEDIUM
دسموزوم,Desmosome,,,دسموزوم (Desmosome),,پل حجروی,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
همی‌دسموزوم,Hemidesmosome,,,همی‌دسموزوم (Hemidesmosome),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
Tight junction,Zonula occludens,Zonula occludens,,Tight junction (Zonula occludens),,,"wasiweb.com, «حجروي اتصال، د اتصال ډولونه» — byline «قاسم خان همت کندهار طب پوهنځۍ محصل» (Kandahar Faculty of Medicine student) — «①مضبوط اتصال【Tight junction】»، «د مضبوط اتصال وظایف»","CANONICAL: **Tight junction / Zonula occludens**. The international term is the primary scientific term (owner decision, locked). The Afghan explanatory form «مضبوط اتصال» is attested in Afghan medical-faculty material — wasiweb.com, «حجروي اتصال، د اتصال ډولونه» (byline: a Kandahar Faculty of Medicine student): «①مضبوط اتصال【Tight junction】» — and MAY be used as a Dari gloss, but it is NOT the primary scientific term. It is not the Iranian wording (Iranian sources write اتصالات محکم / اتصال تنگ).",Ch04,ENGLISH RETAINED,HIGH
Adherens junction,Zonula adherens,Zonula adherens,,Adherens junction (Zonula adherens),اتصال چسبنده;اتصالات چسبنده,,"TolAfghan, «هستولوژي Histology — دوهمه برخه» (tolafghan.com/articles/19376) — «b- Zonula Adherence = Intermediate Juntion»; wasiweb.com, «حجروي اتصال، د اتصال ډولونه» — byline «قاسم خان همت کندهار طب پوهنځۍ محصل» (Kandahar Faculty of Medicine student)","CANONICAL: **Adherens junction / Zonula adherens**. International term, canonical by owner decision. NON-CANONICAL Dari calque recorded so it can never be reused as the scientific term: no Afghan source using a Dari equivalent was located — Afghan sources name this junction only internationally (TolAfghan: «Zonula Adherence = Intermediate Juntion»; wasiweb: «adherence junction»). No replacement Dari term is invented.",Ch04,ENGLISH RETAINED,HIGH
Gap junction,Gap junction,Connexon,,Gap junction (Gap junction),اتصال شکافی;اتصال شکاف‌دار,,"wasiweb.com, «حجروي اتصال، د اتصال ډولونه» — byline «قاسم خان همت کندهار طب پوهنځۍ محصل» (Kandahar Faculty of Medicine student) — «③ګپ جنکشن Gap Junction»؛ «درز junction یا gap junction»؛ ps.wikipedia «بشروي نسجونه» — «٤-Gapjunction»","CANONICAL: **Gap junction**. International term, canonical by owner decision. NON-CANONICAL Dari calque recorded so it can never be reused as the scientific term: no Afghan source using a Dari equivalent was located — Afghan sources use the transliteration (wasiweb: «ګپ جنکشن Gap Junction», «درز junction یا gap junction»; ps.wikipedia: «Gapjunction»). No replacement Dari term is invented.",Ch04,ENGLISH RETAINED,HIGH
کادهرین,Cadherin,,,کادهرین (Cadherin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,ENGLISH RETAINED,HIGH
اینتگرین,Integrin,,,اینتگرین (Integrin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,ENGLISH RETAINED,HIGH
کلودین,Claudin,,,کلودین (Claudin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,ENGLISH RETAINED,HIGH
اوکلودین,Occludin,,,اوکلودین (Occludin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,ENGLISH RETAINED,HIGH
کراتینوسایت,Keratinocyte,,,کراتینوسایت (Keratinocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
ملانوسایت,Melanocyte,,,ملانوسایت (Melanocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
گابلت,Goblet cell,,,گابلت (Goblet cell),,حجرهٔ جامی,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan histology text keeps Goblet cell in English; حجرهٔ جامی is the Dari gloss.,Ch04,ENGLISH RETAINED,HIGH
موسین,Mucin,,,موسین (Mucin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
موسینوژن,Mucinogen,,,موسینوژن (Mucinogen),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
موکوس,Mucus,,,موکوس (Mucus),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan histology text uses موکوس.,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
غدوات شحمی,Sebaceous glands,,,غدوات شحمی (Sebaceous glands),غدد سباسه,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan medical-student source writes «غدوات شحمی» and «غدوات عرقیه». سباسه is the Iranian form.,Ch04,AFGHAN STANDARD,MEDIUM
اندوتلیوم,Endothelium,,,اندوتلیوم (Endothelium),,آندوتلیوم,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Both اندوتلیوم and آندوتلیوم occur in Afghan texts; اندوتلیوم is the book standard.,Ch04,AFGHAN STANDARD,MEDIUM
مزوتلیوم,Mesothelium,,,مزوتلیوم (Mesothelium),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
لامینا پروپریا,Lamina propria,,,لامینا پروپریا (Lamina propria),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),International term retained.,Ch04,ENGLISH RETAINED,HIGH
مخاط,Mucosa,,,مخاط (Mucosa),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan histology text: «سطح مخاط»، «تحت مخاط».,Ch04,AFGHAN STANDARD,MEDIUM
تحت مخاط,Submucosa,,,تحت مخاط (Submucosa),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,AFGHAN STANDARD,MEDIUM
سروزا,Serosa,,,سروزا (Serosa),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan histology text: «لایه سروزا».,Ch04,AFGHAN STANDARD,MEDIUM
متاپلازی,Metaplasia,,,متاپلازی (Metaplasia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
دیسپلازی,Dysplasia,,,دیسپلازی (Dysplasia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
نئوپلازی,Neoplasia,,,نئوپلازی (Neoplasia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
کارسینوم درجا,Carcinoma in situ,,CIS,کارسینوم درجا (Carcinoma in situ),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,AFGHAN STANDARD,MEDIUM
میواپی‌تلیال,Myoepithelial,,,میواپی‌تلیال (Myoepithelial),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch04,COMMON AFGHAN TRANSLITERATION,HIGH
هاضموی,Digestive / gastrointestinal,,,هاضموی (Digestive / gastrointestinal),گوارشی;لوله گوارش,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Afghan clinical usage favours هاضمه («امراض هاضمه»، «دستگاه هاضمه»). NOTE: the Afghan histology text also shows «لوله گوارشی», so گوارشی is classified as non-canonical (book consistency) rather than Iranian. هاضموی is the book standard.",Ch04,AFGHAN STANDARD,MEDIUM
مادهٔ زمینه‌ای,Ground substance,,,مادهٔ زمینه‌ای (Ground substance),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,AFGHAN STANDARD,MEDIUM
کولاجن,Collagen,,,کولاجن (Collagen),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan spelling کولاجن (Pashto teaching text: د کوالجنس).,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
تروپوکولاجن,Tropocollagen,,,تروپوکولاجن (Tropocollagen),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
پروکولاجن,Procollagen,,,پروکولاجن (Procollagen),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
فیبروبلاست,Fibroblast,,,فیبروبلاست (Fibroblast),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
ماکروفاژ,Macrophage,,,ماکروفاژ (Macrophage),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan teaching uses ماکروفاژ.,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
ماست‌سل,Mast cell,,,ماست‌سل (Mast cell),,ماست سیت,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Afghan form ماست‌سل / ماست سیت. NOTE: ماست‌سل is a transliteration, NOT an Iranian form — do not list it under forbidden_forms of any entry.",Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
پلاسما‌سل,Plasma cell,,,پلاسما‌سل (Plasma cell),,پلاسموسیت,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
شحمی,Adipose / fatty,,,شحمی (Adipose / fatty),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan sources use شحم/شحمی for fat («قطرات شحم»، «غدوات شحمی»). چربی remains the everyday word.,Ch05,AFGHAN STANDARD,MEDIUM
آدیپوسایت,Adipocyte,,,آدیپوسایت (Adipocyte),,حجرهٔ شحمی,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),English/transliterated term retained.,Ch05,ENGLISH RETAINED,HIGH
میوفیبروبلاست,Myofibroblast,,,میوفیبروبلاست (Myofibroblast),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
رشتهٔ رتیکولار,Reticular fiber,,,رشتهٔ رتیکولار (Reticular fiber),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Type III collagen; silver stain.,Ch05,AFGHAN STANDARD,MEDIUM
رشتهٔ الاستیک,Elastic fiber,,,رشتهٔ الاستیک (Elastic fiber),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,AFGHAN STANDARD,MEDIUM
الاستین,Elastin,,,الاستین (Elastin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
فیبریلین,Fibrillin,,,فیبریلین (Fibrillin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Marfan syndrome protein.,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
دسموزین,Desmosine,,,دسموزین (Desmosine),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Cross-link marker of elastin.,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
فیبرونکتین,Fibronectin,,,فیبرونکتین (Fibronectin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
لامینین,Laminin,,,لامینین (Laminin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
نیدوژن,Nidogen,entactin,,نیدوژن (Nidogen),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
پروتئوگلیکان,Proteoglycan,,,پروتئوگلیکان (Proteoglycan),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
گلیکوزآمینوگلیکان,Glycosaminoglycan,mucopolysaccharide,GAG,گلیکوزآمینوگلیکان (Glycosaminoglycan),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
هیالورونان,Hyaluronan,hyaluronic acid,,هیالورونان (Hyaluronan),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
هیالورونیداز,Hyaluronidase,,,هیالورونیداز (Hyaluronidase),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
کندرویتین سولفات,Chondroitin sulfate,,,کندرویتین سولفات (Chondroitin sulfate),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
کراتان سولفات,Keratan sulfate,,,کراتان سولفات (Keratan sulfate),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
درماتان سولفات,Dermatan sulfate,,,درماتان سولفات (Dermatan sulfate),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
هپارین,Heparin,,,هپارین (Heparin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
هیستامین,Histamine,,,هیستامین (Histamine),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
